dist,p,n,permutation,avg_true_orderings,std_true_orderings,avg_set_size,std_set_size,sim_coverage,marginal_coverage
unif,3,500,6,2.0,0.0,5.19,1.3978197308666094,0.86,0.895
unif,3,1000,6,3.0,0.0,4.97,1.4032462364104172,0.83,0.9166666666666665
